Time,Bid,Ask,EUR,BTC,Trade,minPrice,maxPrice
15 Jan 14 03:06,606.32,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 03:16,606.40,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 03:26,607.68,610.72,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 03:36,606.32,609.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 03:46,606.32,609.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 03:56,606.32,609.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 04:06,606.33,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 04:16,606.33,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 04:26,606.33,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 04:37,606.33,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 04:47,609.20,611.97,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 04:57,613.77,616.83,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 05:07,613.77,616.83,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 05:17,613.77,616.83,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 05:27,613.77,616.83,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 05:37,615.30,618.29,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 05:47,615.30,617.29,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 05:57,610.72,613.77,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 06:07,612.31,613.96,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 06:17,613.80,616.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 06:27,615.52,618.30,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 06:37,615.56,618.30,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 06:47,615.50,615.52,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 06:57,615.33,615.51,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 07:08,615.01,615.33,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 07:18,615.01,615.51,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 07:28,615.01,615.51,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 07:38,615.50,615.52,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 07:48,610.82,613.80,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 07:58,611.01,613.79,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 08:08,612.00,613.79,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 08:18,615.32,616.89,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 08:28,616.90,618.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 08:38,616.91,618.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 08:48,617.01,618.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 08:58,617.01,618.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 09:09,618.27,618.29,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 09:19,618.29,619.94,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 09:29,618.27,619.93,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 09:39,619.94,623.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 09:49,620.01,622.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 09:59,619.94,621.97,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 10:09,618.39,621.48,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 10:19,620.49,620.50,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 10:29,621.50,621.94,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 10:39,625.02,625.89,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 10:49,622.00,623.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 10:59,622.01,623.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 11:09,623.01,624.55,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 11:19,621.44,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 11:29,621.01,622.97,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 11:40,620.97,622.96,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 11:50,619.90,619.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 12:00,619.01,619.79,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 12:10,619.80,621.44,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 12:20,622.99,623.51,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 12:30,621.43,623.98,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 12:40,624.00,624.94,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 12:50,624.00,625.01,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 13:00,624.00,625.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 13:10,623.99,624.96,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 13:20,620.02,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 13:30,622.00,623.93,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 13:40,621.43,623.92,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 13:50,621.43,623.49,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 14:00,620.01,622.98,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 14:11,620.01,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 14:21,620.21,621.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 14:31,620.21,622.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 14:41,621.99,622.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 14:51,620.23,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 15:01,620.21,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 15:11,620.21,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 15:21,620.21,621.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 15:31,620.21,622.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 15:41,621.25,623.98,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 15:51,622.80,625.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 16:01,624.40,625.54,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 16:11,622.84,625.54,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 16:21,622.26,624.60,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 16:31,622.41,624.59,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 16:42,626.50,627.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 16:52,626.52,627.71,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 17:02,626.52,628.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 17:12,625.60,625.90,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 17:22,625.00,626.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 17:32,625.01,626.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 17:42,625.50,626.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 17:52,625.11,626.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 18:02,625.20,625.50,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 18:12,625.30,625.50,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 18:22,625.21,625.30,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 18:32,626.10,626.12,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 18:42,626.12,627.80,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 18:52,626.11,626.90,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 19:02,625.11,626.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 19:13,625.12,625.13,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 19:23,626.20,626.90,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 19:33,625.15,626.89,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 19:43,625.15,626.70,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 19:53,624.97,626.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 20:03,623.01,624.97,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 20:13,622.40,624.40,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 20:23,622.45,624.39,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 20:33,622.20,624.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 20:43,622.30,624.29,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 20:53,619.80,620.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 21:03,619.80,620.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 21:13,623.41,624.28,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 21:23,620.31,623.30,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 21:33,620.31,623.42,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 21:44,620.31,623.41,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 21:54,620.31,623.40,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:04,620.31,623.40,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:14,620.32,623.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:24,622.50,623.39,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:36,621.85,623.37,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:37,621.85,623.37,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:47,622.30,623.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 22:57,620.19,622.90,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 23:07,620.20,620.38,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 23:18,620.20,622.80,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 23:28,622.01,623.40,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 23:38,623.51,623.60,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 23:48,622.01,624.40,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 23:58,622.04,624.30,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 00:08,622.06,625.00,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 00:18,623.01,625.00,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 00:28,626.02,626.60,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 00:38,626.61,626.62,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 00:48,626.01,626.62,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 00:58,622.68,625.06,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 01:08,623.50,625.98,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 01:18,625.00,625.98,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 01:29,625.00,625.90,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 01:39,625.00,625.79,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 01:49,623.60,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 01:59,623.60,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 02:09,622.51,624.98,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 02:19,622.51,624.97,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 02:29,622.51,624.97,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 02:39,622.51,624.97,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 02:49,622.51,624.97,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 02:59,622.52,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 03:09,622.52,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 03:19,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 03:29,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 03:39,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 03:50,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 04:00,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 04:10,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 04:20,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 04:30,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 04:40,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 04:50,622.51,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 05:00,622.52,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 05:10,622.51,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 05:20,622.02,624.88,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 05:30,622.02,623.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 05:40,622.02,623.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 05:51,622.02,623.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 06:01,622.02,623.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 06:11,622.02,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 06:11,622.02,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 06:31,622.02,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 06:41,622.02,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 06:52,622.02,624.89,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 07:02,624.90,625.00,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 07:12,624.91,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 07:22,624.91,624.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 07:32,624.92,625.06,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 07:42,624.92,625.90,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 07:52,624.89,625.00,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 08:02,624.90,625.00,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 08:12,625.01,625.90,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 08:22,625.02,625.90,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 08:32,625.02,625.90,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 08:42,625.90,625.98,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 08:52,625.02,625.88,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 09:03,624.90,625.01,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 09:13,625.03,625.86,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 09:23,624.99,625.00,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 09:33,623.50,624.88,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 09:43,622.80,622.87,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 09:53,622.26,622.87,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 10:03,622.26,624.87,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 10:13,620.01,621.94,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 10:23,620.39,621.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 10:33,620.01,620.01,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 10:43,620.01,621.96,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 10:53,620.15,621.96,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 11:03,621.74,621.75,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 11:13,620.16,621.96,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 11:24,620.16,621.96,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 11:34,622.20,624.82,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 11:44,623.01,623.93,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 11:54,623.00,623.68,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 12:04,621.92,623.69,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 12:14,621.80,622.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 12:24,621.01,622.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 12:34,617.28,617.99,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 12:44,616.61,616.61,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 12:54,615.01,615.03,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 13:04,615.01,617.26,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 13:14,614.90,616.88,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 13:25,615.30,617.27,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 13:35,618.01,618.50,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 13:45,617.28,619.87,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 13:55,618.90,619.87,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 14:05,616.05,619.13,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 14:15,617.06,619.04,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 14:25,617.01,618.90,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 14:35,617.01,619.13,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 14:45,619.14,619.98,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 14:55,616.05,619.13,42.63,0.142299,0.00,575.23,661.52
16 Jan 14 15:05,616.14,618.99,42.63,0.142299,0.00,575.23,661.52
